session,is_in,based_on,time,error
"Undirected Graph Theory",AFP,Other,333.6,0.17633102674116333
"Interval Arithmetic Word32",AFP,Other,296.765,0.00283846260482711
Sunflowers,AFP,Other,160.593,0.055866362379366215
"HOL-Predicate Compile Examples",Distribution,Other,241.184,0.12368502488576105
Perfect-Number-Thm,AFP,Other,374.241,0.03964667896920264
Completeness,AFP,Other,169.089,0.027481482709811277
"Zeta Function",AFP,Other,664.217,0.028853755548485866
"Noninterference Sequential Composition",AFP,Other,175.407,0.004622423493095505
Logics,Distribution,Pure,9.768,0.02110916259623428
"Count Complex Roots",AFP,Other,699.602,0.1795108179827583
"Propositional Proof Systems",AFP,Other,243.265,0.06529901855082182
"HOL-Nitpick Examples",Distribution,Other,219.226,0.4106939054650804
"Fixed Length Vector",AFP,Other,161.542,0.01924599020612013
"BNF CC",AFP,Other,174.871,0.0378988169588637
Codegen,Distribution,Other,270.77,0.0028794632894780085
IsaGeoCoq,AFP,Other,263.674,0.0028356285887147638
"Modular Assembly Kit Security",AFP,Other,188.649,0.1562479340356708
Containers-Benchmarks,AFP,Other,665.246,0.178887614587024
"Lambert W",AFP,Other,649.547,0.004342960610532812
Buildings,AFP,Other,340.089,0.13359708617187513
"Decl Sem Fun PL",AFP,Other,191.423,0.0996603262387701
"Randomised Social Choice",AFP,Other,548.468,0.12217723348221628
"Pop Refinement",AFP,Other,163.005,0.04034469702867408
"Boolos Curious Inference Automated",AFP,Other,162.843,0.0165774236875059
"Case Labeling",AFP,Other,162.941,0.007684514158612141
"Regex Equivalence",AFP,Other,246.022,0.1710629309228323
"EdmondsKarp Maxflow",AFP,Other,590.767,0.0032969756456799884
MiniML,AFP,Other,163.93,0.1468764053677502
Nullstellensatz,AFP,Other,590.218,0.07599250790228075
"HOL-Complex Analysis",Distribution,Other,608.953,0.09218495171860228
"Laplace Transform",AFP,Other,483.346,0.08551834191870993
"Card Multisets",AFP,Other,166.503,0.10474084310597281
Treaps,AFP,Other,564.558,0.08198241701283532
"Digit Expansions",AFP,Other,167.278,0.078570980117309
StrictOmegaCategories,AFP,Other,164.855,0.08912438331243192
"Featherweight OCL",AFP,Other,256.892,0.00874304339391948
Valuation,AFP,Other,368.064,0.04619430391103297
Category,AFP,Other,161.231,0.05306541221397735
Transitive-Closure-II,AFP,Other,166.436,0.04933275539477011
"Types Tableaus and Goedels God",AFP,Other,171.116,0.9205482977291669
"Design Theory",AFP,Other,333.891,0.07468949502713582
"Timed Automata",AFP,Other,290.384,0.0029246743098883675
Derangements,AFP,Other,172.915,0.002705686535717141
"Van der Waerden",AFP,Other,163.834,0.07437841717503481
XML,AFP,Other,276.934,0.12901171342534581
"Stone Relation Algebras",AFP,Other,243.275,0.13679769648104406
ZF-Resid,Distribution,Other,23.492,0.04817766476452266
"IMP Compiler",AFP,Other,187.888,0.12138143477383678
"Projective Geometry",AFP,Other,228.709,0.0020052376578183284
Nat-Interval-Logic,AFP,Other,306.939,0.14067312060442186
"Discrete Summation",AFP,Other,159.916,0.09298051907226278
IOA-NTP,Distribution,Other,182.719,0.009730937192402627
HyperHoareLogic,AFP,Other,172.233,0.1185880682860803
HOL-NanoJava,Distribution,Other,160.751,0.05014074940041948
"Quick Sort Cost",AFP,Other,546.267,0.15149710854327225
"Source Coding Theorem",AFP,Other,525.609,0.08000513890725804
HOL-TLA,Distribution,Other,160.064,0.061562203560611026
FOL-ex,Distribution,Other,19.726,0.053879671360161495
"Regular Algebras",AFP,Other,267.922,0.07188415558648611
Trie,AFP,Other,268.207,0.04133109544941741
"Secondary Sylow",AFP,Other,377.836,0.17053759427485196
"HOL-Types To Sets",Distribution,Other,166.871,0.10674959716745461
Circus,AFP,Other,205.268,0.002779227019630887
TsirelsonBound,AFP,Other,715.156,0.014778014446650948
ZF-Coind,Distribution,Other,22.878,0.036247987447078286
"Priority Search Trees",AFP,Other,170.407,0.011333138949540383
Quaternions,AFP,Other,480.362,0.056167442240116036
"Vickrey Clarke Groves",AFP,Other,314.219,0.008833898338186923
PseudoHoops,AFP,Other,212.56,0.03802593262749982
HOL-TLA-Buffer,Distribution,Other,160.346,0.10173148758217257
HOL-SPARK-Manual,Distribution,Other,172.127,0.07933203935193493
"Pluennecke Ruzsa Inequality",AFP,Other,291.323,0.0022632606020994523
"Prog Prove",Distribution,Other,160.865,0.07368404693311678
"Simplicial complexes and boolean functions",AFP,Other,481.119,0.006024805117462538
SequentInvertibility,AFP,Other,218.712,0.11827800433446153
"Equivalence Relation Enumeration",AFP,Other,275.053,0.07580116243776457
HOL-SPARK,Distribution,Other,176.305,0.010304602003585768
Recursion-Addition,AFP,Other,23.186,0.014009284344447434
Program-Conflict-Analysis,AFP,Other,286.542,0.1012059357440602
FileRefinement,AFP,Other,162.223,0.10533987232816948
"Weighted Arithmetic Geometric Mean",AFP,Other,157.346,0.0672459503105349
"Separation Logic Unbounded",AFP,Other,181.31,0.004968654379608915
"Smooth Manifolds",AFP,Other,506.991,0.0028496308713335007
"HOL-Hahn Banach",Distribution,Other,167.807,0.04755138819934768
Corec,Distribution,Other,232.805,0.033855707900009566
"Prime Harmonic Series",AFP,Other,587.318,0.03367383304666842
"Blue Eyes",AFP,Other,168.385,0.02089486317627937
"Stirling Formula",AFP,Other,656.247,0.008167752640804616
"Pratt Certificate",AFP,Other,338.319,0.007954639162571206
"Logics ZF",Distribution,Other,22.484,0.05316729082153502
"Factor Algebraic Polynomial",AFP,Other,777.826,0.0066913311655832945
"Bell Numbers Spivey",AFP,Other,275.878,0.08558166486904921
SML,Distribution,Pure,9.807,0.021587474483265003
"Residuated Lattices",AFP,Other,237.363,0.05844293809268842
Example-Submission,AFP,Other,156.154,0.1861806996367042
NormByEval,AFP,Other,175.649,0.1440785677299509
Decreasing-Diagrams,AFP,Other,292.867,0.015670948411464273
"Interpreter Optimizations",AFP,Other,396.036,0.022379969027349185
"Progress Tracking",AFP,Other,319.352,0.011667945001964641
"Gray Codes",AFP,Other,159.668,0.10714649497570701
"Prime Distribution Elementary",AFP,Other,665.006,0.00922656929213994
"Maximum Segment Sum",AFP,Other,159.153,0.09480480452060921
"Hybrid Logic",AFP,Other,178.245,0.08805120081694771
"Imperative Insertion Sort",AFP,Other,217.523,0.08354399101653193
"Isabelle C",AFP,Other,184.82,0.005047539628927892
"Old Datatype Show",AFP,Other,429.023,0.21539584033850326
Octonions,AFP,Other,488.638,0.15855666713418318
"Conditional Transfer Rule",AFP,Other,161.561,6.606095659589541E-4
"Architectural Design Patterns",AFP,Other,370.858,0.007289126918522574
"Catalan Numbers",AFP,Other,485.269,0.1323187312312966
"Graph Theory",AFP,Other,300.052,0.00280497727251662
"GPU Kernel PL",AFP,Other,160.426,0.0311322340018419
"Cayley Hamilton",AFP,Other,490.726,0.14105115666109352
"Dependent SIFUM Refinement",AFP,Other,389.855,0.08754668677648075
"Nested Multisets Ordinals",AFP,Other,234.771,0.005087374545213875
"Subset Boolean Algebras",AFP,Other,226.8,0.001865405020673882
"Abstract Soundness",AFP,Other,285.844,0.20042181464563913
LocalLexing,AFP,Other,209.602,0.003573645954565646
Deriving,AFP,Other,322.951,0.18635854823124232
"Cartan FP",AFP,Other,526.772,0.06179986084395089
"Knights Tour",AFP,Other,199.063,0.0926472455298552
"How to Prove it",Distribution,Other,156.161,0.0734038542428191
"Comparison Sort Lower Bound",AFP,Other,656.784,0.07103536769274159
RefinementReactive,AFP,Other,163.453,0.10586580602080317
"Minsky Machines",AFP,Other,297.482,0.0650567646521139
"Generic Deriving",AFP,Other,199.49,0.029419313835065655
"Khovanskii Theorem",AFP,Other,517.639,0.041667810280446936
"Typeclass Hierarchy",Distribution,Other,168.302,0.0592301383572167
"Consensus Refined",AFP,Other,190.508,0.17967236688485164
Farkas,AFP,Other,374.509,0.12529540732215041
"Relational Minimum Spanning Trees",AFP,Other,409.781,0.04506830886790174
"HOL-Hoare Parallel",Distribution,Other,269.164,0.013411948014110903
PAL,AFP,Other,163.993,0.02244702150536989
"Functional Ordered Resolution Prover",AFP,Other,502.098,0.16277112423645604
HOLCF,Distribution,Other,173.253,0.008236945660864206
HOL-Proofs-ex,Distribution,Other,327.986,0.0749149137604908
"Lovasz Local",AFP,Other,574.668,8.508427606108964E-4
HOLCF-Library,Distribution,Other,183.775,0.09658004051417506
BinarySearchTree,AFP,Other,158.768,0.019640412819903773
"Randomised BSTs",AFP,Other,571.162,0.0039353351572911375
HOL-Induct,Distribution,Other,167.984,0.00442259997570647
HOLCF-FOCUS,Distribution,Other,179.8,0.009130465812123357
"Robinson Arithmetic",AFP,Other,291.945,0.10690807726412019
"Localization Ring",AFP,Other,397.3,0.08139904341974089
Paraconsistency,AFP,Other,257.111,0.1084715696648299
HOL-IOA,Distribution,Other,157.816,0.07770227835952857
PLM,AFP,Other,182.308,0.08598914802673745
"HOL-Nonstandard Analysis-Examples",Distribution,Other,300.967,0.0033196680062320713
"Higher Order Terms",AFP,Other,236.683,0.10757453945306467
"Zeta 3 Irrational",AFP,Other,681.394,0.23467262659886773
HOL-ZF,Distribution,Other,167.717,0.004437281796207326
Tools,Distribution,Pure,13.32,0.025743678611781357
"KD Tree",AFP,Other,485.78,0.013346445619688516
"Sepref IICF",AFP,Other,474.588,0.05244511599061396
CommCSL,AFP,Other,352.732,0.01863643109160435
"IEEE Floating Point",AFP,Other,218.055,0.11920665666346723
Classes,Distribution,Other,157.421,0.0312532642402034
List-Infinite,AFP,Other,279.322,0.009292751541888718
"Transformer Semantics",AFP,Other,344.31,0.08311364287226951
"Closest Pair Points",AFP,Other,575.033,0.0041176379454837455
"Linear Inequalities",AFP,Other,779.621,0.06385031350491685
"Diophantine Eqns Lin Hom",AFP,Other,176.345,0.1251526088212228
Lehmer,AFP,Other,331.141,0.14727366633049413
WebAssembly,AFP,Other,388.433,0.010586362534498071
"Winding Number Eval",AFP,Other,586.095,0.019153401502351654
"Fresh Identifiers",AFP,Other,158.931,0.04373796866905046
Launchbury,AFP,Other,253.701,0.14824072261874247
"Boolos Curious Inference",AFP,Other,156.473,0.0990346205870189
HOL-Mutabelle,Distribution,Other,156.97,0.049140018691880435
"Relation Algebra",AFP,Other,227.44,0.01029092967100431
"LTL to DRA",AFP,Other,410.252,0.24393628119749425
CryptHOL,AFP,Other,744.649,0.12267233414256189
Free-Groups,AFP,Other,240.123,0.013622345597226984
FocusStreamsCaseStudies,AFP,Other,175.19,0.06833160687337318
ZF-IMP,Distribution,Other,22.637,0.019096581553118733
"Stream Fusion Code",AFP,Other,351.031,0.08573318240473127
"Binding Syntax Theory",AFP,Other,274.817,0.01384492859009093
"Parity Game",AFP,Other,257.277,0.00724591510566888
SumSquares,AFP,Other,335.761,0.1163064663220518
"Lifting the Exponent",AFP,Other,331.436,0.061509719817173736
GraphMarkingIBP,AFP,Other,171.425,0.10206707382362187
"Physical Quantities",AFP,Other,239.186,0.07931258986893572
"Concurrent Ref Alg",AFP,Other,164.373,0.15029861958336754
"Fishers Inequality",AFP,Other,772.438,0.010424446238316069
"FOL Harrison",AFP,Other,168.014,0.20587816451198973
"Sturm Sequences",AFP,Other,323.838,0.10120349186969617
Bondy,AFP,Other,156.305,0.026068544506248313
FOL,Distribution,Pure,12.608,0.09456827871602502
Coinductive,AFP,Other,448.748,0.005113120800038483
"Nash Williams",AFP,Other,172.582,0.11232385978800763
FeatherweightJava,AFP,Other,166.09,0.2187607626188007
"Linear Recurrences",AFP,Other,623.719,0.07922985987113482
VerifyThis2019,AFP,Other,451.999,0.02916358623886169
"Name Carrying Type Inference",AFP,Other,174.872,0.12519564461263996
CTT,Distribution,Pure,10.728,0.015598930143455522
HOL-Nominal,Distribution,Other,168.398,0.13605211679493384
"Priority Queue Braun",AFP,Other,280.728,0.06841114018824765
Statecharts,AFP,Other,217.187,0.19319836142402674
"Open Induction",AFP,Other,158.571,0.06820658124046443
"VYDRA MDL",AFP,Other,464.727,0.004425332012959846
HOL-Eisbach,Distribution,Other,165.386,0.049657819005434915
"Number Theoretic Transform",AFP,Other,362.881,0.00239583317718465
JiveDataStoreModel,AFP,Other,163.822,0.0060961665643449875
LTL,AFP,Other,318.425,0.0843118597410158
Huffman,AFP,Other,167.329,0.20871630858004067
Mereology,AFP,Other,162.253,0.6859979750458821
"Combinatorial Enumeration Algorithms",AFP,Other,285.483,0.21461783713840826
"Mason Stothers",AFP,Other,291.568,0.07330858066493665
HOL-Statespace,Distribution,Other,165.475,0.017342263208620406
ZF-UNITY,Distribution,Other,36.878,0.028035654721872246
DataRefinementIBP,AFP,Other,159.079,0.1074191841121022
Locally-Nameless-Sigma,AFP,Other,182.026,0.011325505546088032
PCF,AFP,Other,209.527,0.059416703044541296
"Two Generated Word Monoids Intersection",AFP,Other,210.597,0.06852098437870101
"LLL Factorization",AFP,Other,760.546,0.00815166933991132
HOL-Cardinals,Distribution,Other,177.519,0.004452564064377422
"Optimal BST",AFP,Other,241.895,0.12466481997093008
"HOL-Isar Examples",Distribution,Other,294.864,0.033009431111162855
"Card Partitions",AFP,Other,165.737,0.08766435981721078
"Coinductive Languages",AFP,Other,173.203,0.014880628745159542
SenSocialChoice,AFP,Other,169.582,0.005921980551713978
DigitsInBase,AFP,Other,332.683,0.021187071148442146
"Encodability Process Calculi",AFP,Other,212.404,0.15581848485333957
"Hahn Jordan Decomposition",AFP,Other,539.282,0.06394703259276756
IMO2019,AFP,Other,648.897,0.07004767862439149
"WHATandWHERE Security",AFP,Other,183.452,0.005255692228454413
BytecodeLogicJmlTypes,AFP,Other,207.997,0.002668390566802435
"Fishburn Impossibility",AFP,Other,187.839,0.05346361862476327
"Dijkstra Shortest Path",AFP,Other,416.002,0.03590672108474138
"Weighted Path Order",AFP,Other,343.888,0.007818532229771944
HOL-Import,Distribution,Other,156.987,0.0972781698309346
"WOOT Strong Eventual Consistency",AFP,Other,200.071,0.10631059956753698
pGCL,AFP,Other,498.835,0.003912489027093607
"Bertrands Postulate",AFP,Other,382.435,0.18105714404708084
"Hood Melville Queue",AFP,Other,180.489,0.07981514769577697
Szpilrajn,AFP,Other,158.716,0.006376964342999479
"Noninterference Generic Unwinding",AFP,Other,180.557,0.08017411438560548
"Lazy Case",AFP,Other,158.306,0.207038361398704
HoareForDivergence,AFP,Other,202.077,0.06837919509953665
"Dominance CHK",AFP,Other,193.929,0.05460042601212764
"ML Unification",AFP,Other,171.275,0.01794943941322647
"PAPP Impossibility",AFP,Other,316.029,0.0022847711421221197
"List Interleaving",AFP,Other,158.805,0.012054067646376775
"Finite Automata HF",AFP,Other,172.238,0.05731383838582564
"Multirelations Heterogeneous",AFP,Other,247.777,0.0027254691540570244
"Demo FoilTeX",Distribution,Other,156.321,0.058555617770278325
"LTL Normal Form",AFP,Other,319.485,0.026110324008420373
"Resolution FOL",AFP,Other,233.525,0.026039242840090862
"Landau Symbols",AFP,Other,268.767,0.021635494901811183
"Card Equiv Relations",AFP,Other,275.288,0.043848572032684725
"Euler Partition",AFP,Other,170.811,0.10015323530493968
FunWithFunctions,AFP,Other,157.126,0.011309581187327548
"Relational Method",AFP,Other,250.27,0.0015603314495105834
"Signature Groebner",AFP,Other,658.802,0.13594817955315827
"Relational Disjoint Set Forests",AFP,Other,420.374,0.04608617183759999
HereditarilyFinite,AFP,Other,275.902,0.0074696336079573674
"Possibilistic Noninterference",AFP,Other,185.986,0.19517142775025628
ZF-Constructible,Distribution,Other,35.838,0.009959321149023018
"Propositional Logic Class",AFP,Other,188.013,0.03492722340390171
"Chandy Lamport",AFP,Other,387.044,0.00913023878193138
Rensets,AFP,Other,176.518,0.07295964633755213
LightweightJava,AFP,Other,296.531,0.11183365024227615
"Knuth Bendix Order",AFP,Other,308.042,0.003262889613929748
"Floyd Warshall",AFP,Other,536.222,0.1293483787330229
Optics,AFP,Other,189.823,0.0019579850500376647
"Sort Encodings",AFP,Other,221.991,0.046955636070925025
HOL-Combinatorics,Distribution,Other,185.293,0.035556925134330356
"Goedel Incompleteness",AFP,Other,267.163,0.10127392327947653
"Card Number Partitions",AFP,Other,264.573,0.08694452153482345
"FOL Seq Calc2",AFP,Other,310.585,0.09885740176690962
"Monomorphic Monad",AFP,Other,549.516,0.14696830102421593
"Foundation of geometry",AFP,Other,200.278,0.27835656868141356
"Stewart Apollonius",AFP,Other,475.407,0.06226253382210373
"List Inversions",AFP,Other,179.025,0.1197857338636757
HOL-IMPP,Distribution,Other,159.583,0.12357893788348685
AutoFocus-Stream,AFP,Other,337.717,0.010801856692412985
"Partial Order Reduction",AFP,Other,533.14,0.1353010863479515
"Sophomores Dream",AFP,Other,474.025,0.023325915772774986
"Stellar Quorums",AFP,Other,161.981,0.017460265948926957
"Separation Algebra",AFP,Other,185.755,0.005513565596671903
"Approximation Algorithms",AFP,Other,186.657,0.05898734863704996
Datatypes,Distribution,Other,194.953,0.002690257994823602
"Szemeredi Regularity",AFP,Other,596.757,0.07928039268058291
ArrowImpossibilityGS,AFP,Other,162.998,0.09904983929083003
"C2KA DistributedSystems",AFP,Other,158.661,0.060668603516893925
"Median Method",AFP,Other,527.617,0.018372845076165188
LatticeProperties,AFP,Other,159.281,0.007941666224386098
"Lower Semicontinuous",AFP,Other,482.671,0.11145836196301452
"Arith Prog Rel Primes",AFP,Other,333.482,0.05050419354999149
"Matrix Tensor",AFP,Other,314.517,0.003557069657900145
"Finite Fields",AFP,Other,466.74,0.004109505830843863
"TESL Language",AFP,Other,176.727,0.023884949557780536
"Prime Number Theorem",AFP,Other,651.756,0.02058843000842612
"Probability Inequality Completeness",AFP,Other,200.815,0.029783716085737186
"Noninterference Ipurge Unwinding",AFP,Other,172.715,0.0024403903711989763
"Aggregation Algebras",AFP,Other,333.293,0.1274789404146227
IOA-ABP,Distribution,Other,181.594,0.008438122920997519
Binomial-Queues,AFP,Other,161.627,0.13684891842429445
Sledgehammer,Distribution,Pure,9.768,0.017807469700325134
Hyperdual,AFP,Other,548.665,0.011989942719693275
"Sigma Commit Crypto",AFP,Other,699.439,0.11060646783158745
DiscretePricing,AFP,Other,603.602,0.08314120814038596
"Amortized Complexity",AFP,Other,335.058,0.12629508556967406
"Interpolation Polynomials HOL Algebra",AFP,Other,391.081,0.16212889101813044
Max-Card-Matching,AFP,Other,157.586,0.05300494601205765
"Dynamic Tables",AFP,Other,296.497,0.06164886785760396
CISC-Kernel,AFP,Other,172.697,0.08630565843707694
"Kleene Algebra",AFP,Other,213.37,0.010077919136753415
FFT,AFP,Other,157.705,0.06070774568403654
Matroids,AFP,Other,161.465,0.08571693815737721
"GaleStewart Games",AFP,Other,190.875,0.06944518508110163
"Neumann Morgenstern Utility",AFP,Other,538.066,0.073129276150141
UTP-Toolkit,AFP,Other,416.956,0.022926649988425845
"Actuarial Mathematics",AFP,Other,582.535,0.0767344419276269
"Three Circles",AFP,Other,331.317,0.008735172957028269
Nominal2,AFP,Other,190.913,0.012741513055853245
"Call Arity",AFP,Other,270.4,0.2617195107802543
"Rewrite Properties Reduction",AFP,Other,329.136,0.0035632553755431287
Abstract-Rewriting,AFP,Other,301.325,0.07575991941449871
"Clique and Monotone Circuits",AFP,Other,676.154,0.01742375605717704
QHLProver,AFP,Other,584.642,0.0021338351896494816
IOA-ex,Distribution,Other,179.15,0.08763235711462936
"HOL-Real Asymp",Distribution,Other,282.988,0.005042057569509223
"Amicable Numbers",AFP,Other,396.108,0.0022812975061755995
HOL-TLA-Memory,Distribution,Other,167.861,0.009815507288578103
"Demo LIPIcs",Distribution,Other,156.236,0.27112750621730247
"Binary Code Imprimitive",AFP,Other,204.837,0.04999973400143931
Sequents,Distribution,Pure,12.69,0.03552195712744266
"InformationFlowSlicing Inter",AFP,Other,571.191,0.03127404651432592
"Earley Parser",AFP,Other,225.643,0.00778207241113867
"Buffons Needle",AFP,Other,526.615,0.10563780807455858
"Logging Independent Anonymity",AFP,Other,178.664,0.09166951621048645
"HOL-Real Asymp-Manual",Distribution,Other,206.067,0.07344389515810841
"Ptolemys Theorem",AFP,Other,474.073,0.060747082087287525
"Intro Dest Elim",AFP,Other,156.599,0.022826146240977795
"Stone Kleene Relation Algebras",AFP,Other,317.003,0.03707782093542646
"Roy Floyd Warshall",AFP,Other,156.691,0.054145221823671215
LinearQuantifierElim,AFP,Other,314.149,0.14168113285785605
Abstract-Hoare-Logics,AFP,Other,165.659,0.05479363156145093
"Adaptive State Counting",AFP,Other,535.812,0.05915460696683343
FOLP,Distribution,Pure,11.191,0.05933516552435471
"Abstract Completeness",AFP,Other,272.001,0.13482531265033929
General-Triangle,AFP,Other,156.531,0.09494327490979132
HOL-Bali,Distribution,Other,248.108,0.015756854874840343
"Sturm Tarski",AFP,Other,315.868,0.048056059828801456
Functional-Automata,AFP,Other,270.915,0.033029345463435326
"Pi Transcendental",AFP,Other,652.903,0.002996232456134942
Forcing,AFP,Other,62.233,0.0064488051113197695
Tutorial,Distribution,Other,183.146,0.2146427421186092
VectorSpace,AFP,Other,399.276,0.04716987212590425
Green,AFP,Other,551.865,0.03811528242717206
"Partial Function MR",AFP,Other,159.248,0.06837178650242194
HOLCF-Prelude,AFP,Other,207.073,0.0067902360694256664
"Graph Saturation",AFP,Other,286.125,0.07599897027340902
"Types To Sets Extension",AFP,Other,272.492,0.006751517170865859
"Password Authentication Protocol",AFP,Other,311.043,0.0037013696484925677
"Irrationals From THEBOOK",AFP,Other,651.946,0.059423908272810105
ShortestPath,AFP,Other,282.709,0.06227567145191293
Gauss-Jordan-Elim-Fun,AFP,Other,170.032,0.0589260254460163
SIFPL,AFP,Other,191.325,0.10051842590722508
"Sepref Basic",AFP,Other,412.313,0.1291458589477033
System,Distribution,Pure,19.574,1.369902064063592
"Turans Graph Theorem",AFP,Other,613.378,0.08004967025375989
Kruskal,AFP,Other,481.552,0.10786790317319933
IOA-Storage,Distribution,Other,179.187,0.014204474630155188
RSAPSS,AFP,Other,351.857,0.012886068918350225
Locales,Distribution,Other,157.7,0.06310066924045978
Implementation,Distribution,Other,161.599,0.22173746932886318
"Minimal SSA",AFP,Other,537.074,0.0689694603784132
"Ackermanns not PR",AFP,Other,157.621,0.06772349518187558
"Verified SAT Based AI Planning",AFP,Other,256.088,0.013832268387987455
BDD,AFP,Other,311.386,0.06470114399017594
ClockSynchInst,AFP,Other,159.544,0.01669567262561519
Nitpick,Distribution,Pure,9.78,0.017943146636495804
"Combinatorics Words Lyndon",AFP,Other,204.732,0.0788278196421064
"Gabow SCC",AFP,Other,494.531,0.006787668491604444
DiskPaxos,AFP,Other,184.952,0.1091425673385466
CYK,AFP,Other,159.675,0.04921609971095481
"Applicative Lifting",AFP,Other,559.885,0.15017602128198304
"Goodstein Lambda",AFP,Other,159.171,0.053505870465338654
"Banach Steinhaus",AFP,Other,480.027,0.037236872394378125
HOL-TLA-Inc,Distribution,Other,161.537,0.0626784101383385
MHComputation,AFP,Other,158.152,0.04349160889101686
"Elliptic Curves Group Law",AFP,Other,385.799,0.09948913976904249
"SDS Impossibility",AFP,Other,564.205,0.007768380345114165
"IMP Compiler Reuse",AFP,Other,198.805,0.1028395489385318
"Tree Enumeration",AFP,Other,310.599,0.007836842799609778
"Multiset Ordering NPC",AFP,Other,360.673,0.09285967952734304
"Lowe Ontological Argument",AFP,Other,166.94,0.4413541696066587
"Special Function Bounds",AFP,Other,326.269,0.0167664388685781
"BD Security Compositional",AFP,Other,243.988,0.1880698769559653
Menger,AFP,Other,163.503,0.06410390113571761
"Hidden Markov Models",AFP,Other,591.552,0.06634847924773743
"Skew Heap",AFP,Other,262.287,0.0925386031919644
"Wetzels Problem",AFP,Other,565.707,0.0027291219273885663
Compiling-Exceptions-Correctly,AFP,Other,158.641,0.14035478121108733
