session,expected_start,actual_start,expected_duration,actual_duration
Error_Function,365.059,512.903,8.874,8.971
Eudoxus_Reals,336.693,444.131,7.673,7.084
Euler_MacLaurin,810.504,1213.617,14.2,16.847
Euler_Partition,164.52,221.54,6.663,6.711
Euler_Polyhedron_Formula,838.18,1257.224,19.555,23.078
Eval_FO,1175.487,1827.781,79.927,93.79
Example-Submission,157.307,183.836,0.982,0.873
Executable_Randomized_Algorithms,784.209,1167.705,201.469,227.295
Expander_Graphs,484.259,695.731,300.344,402.569
Extended_Finite_State_Machine_Inference,1181.97,1695.425,55.29,53.684
Extended_Finite_State_Machines,187.235,220.734,42.365,47.852
FFT,149.017,187.495,1.177,1.184
FLP,1144.198,1790.384,10.144,15.267
FOL,8.245,11.869,2.186,1.873
FOL-Fitting,183.407,232.101,16.214,17.694
FOL-ex,10.431,16.365,3.639,3.753
FOLP,8.245,10.674,1.066,1.374
FOLP-ex,9.311,14.013,1.459,1.301
FOL_Axiomatic,422.457,547.393,4.483,7.138
FOL_Harrison,215.717,264.144,11.089,11.167
FOL_Seq_Calc1,274.919,333.921,4.25,6.537
FOL_Seq_Calc2,372.553,523.646,30.148,26.774
FOL_Seq_Calc3,181.751,221.235,4.939,10.362
FO_Theory_Rewriting,1094.744,1756.045,89.424,173.864
FSM_Tests,996.797,1167.479,158.043,183.073
Factor_Algebraic_Polynomial,1261.299,1770.313,50.187,46.139
Factored_Transition_System_Bounding,935.47,1365.355,61.232,88.725
Falling_Factorial_Sum,171.303,229.884,3.664,2.962
Farkas,695.38,1044.762,53.465,48.309
FeatherweightJava,138.401,174.741,4.997,4.846
Featherweight_OCL,1096.708,1702.055,78.779,123.29
Fermat3_4,261.577,310.837,4.939,9.417
FileRefinement,145.998,173.152,4.108,11.854
FinFun,112.701,133.958,2.642,2.799
Finger-Trees,480.733,658.2,13.922,18.428
Finite-Map-Extras,245.908,321.182,29.198,28.1
Finite_Automata_HF,108.705,128.976,13.09,13.932
Finite_Fields,669.79,880.15,510.635,525.377
Finitely_Generated_Abelian_Groups,281.425,375.87,15.943,10.382
First_Order_Terms,286.643,393.865,15.869,33.957
First_Welfare_Theorem,312.884,417.553,4.846,6.299
Fishburn_Impossibility,1061.214,1417.721,23.373,27.769
Fisher_Yates,339.779,468.074,3.148,4.671
Fishers_Inequality,623.435,838.017,83.822,73.249
Fixed_Length_Vector,764.619,957.079,7.553,5.247
Flow_Networks,424.165,570.389,116.907,170.48
Floyd_Warshall,1058.402,1651.585,16.019,11.588
Flyspeck-Tame,1194.319,1575.121,73.913,105.989
FocusStreamsCaseStudies,1020.341,1498.016,11.652,24.009
Forcing,25.61,22.892,12.778,8.22
Formal_Puiseux_Series,1053.882,1417.737,18.584,17.932
Formal_SSA,297.962,433.996,364.385,384.462
Formula_Derivatives,804.725,1040.208,82.209,146.237
Formula_Derivatives-Examples,1283.897,1975.101,32.286,33.905
Foundation_of_geometry,270.499,314.574,25.557,21.347
Fourier,1059.082,1417.76,27.631,33.058
Free-Boolean-Algebra,153.829,177.468,1.293,1.556
Free-Groups,789.155,1187.461,69.313,73.503
Frequency_Moments,664.682,809.413,519.498,624.103
Fresh_Identifiers,152.08,197.796,2.674,2.469
FunWithFunctions,108.705,133.861,1.321,1.497
FunWithTilings,688.48,935.637,24.201,22.833
Functional-Automata,171.303,183.983,23.963,22.614
Functional_Ordered_Resolution_Prover,742.499,1187.476,187.178,96.541
Functions,251.615,338.581,2.341,4.295
Furstenberg_Topology,1031.993,1522.885,75.344,80.664
GPU_Kernel_PL,179.406,205.004,4.345,7.224
Gabow_SCC,1245.682,2014.165,69.043,86.113
GaleStewart_Games,396.348,532.052,2.126,2.377
Gale_Shapley,245.908,321.195,79.222,73.674
Game_Based_Crypto,631.135,956.246,43.607,50.057
Gauss-Jordan-Elim-Fun,156.657,209.25,2.264,2.113
Gauss_Jordan,288.205,356.371,40.241,39.49
Gauss_Sums,470.136,636.507,21.642,27.134
Gaussian_Integers,253.956,344.493,28.724,28.6
GenClock,145.926,191.696,3.24,2.536
General-Triangle,187.353,205.381,1.312,1.949
Generalized_Counting_Sort,1281.824,1927.624,31.531,20.922
Generic_Deriving,754.433,1167.722,48.239,44.55
Generic_Join,772.172,964.34,13.973,13.429
GewirthPGCProof,227.874,275.908,32.306,31.885
Girth_Chromatic,445.551,591.835,62.717,69.441
Given_Clause_Loops,771.797,966.5,30.613,35.766
Go,310.601,390.106,3.945,4.782
Go_Test_Quick,326.718,401.545,0.722,0.579
Go_Test_Slow,210.514,245.945,0.991,1.56
GoedelGod,159.797,198.627,2.701,2.926
Goedel_HFSet_Semantic,442.834,634.639,259.117,279.107
Goedel_HFSet_Semanticless,845.023,932.519,151.774,230.433
Goedel_Incompleteness,426.101,572.931,13.934,12.995
Goodstein_Lambda,129.256,165.481,3.273,3.263
GraphMarkingIBP,216.784,264.16,11.09,11.304
Graph_Saturation,287.099,381.242,15.964,8.994
Graph_Theory,171.303,218.026,17.378,17.247
Gray_Codes,160.684,214.582,3.402,3.359
Green,402.701,563.369,40.418,30.931
Groebner_Bases,399.349,499.55,190.449,144.771
Groebner_Macaulay,615.168,792.525,104.146,103.224
Gromov_Hyperbolicity,1245.682,2014.177,46.574,84.444
Grothendieck_Schemes,1165.315,1474.58,76.564,68.515
Group-Ring-Module,1034.627,1329.463,117.237,140.491
HOL,8.245,11.652,100.46,102.556
HOL-Algebra,198.539,245.131,70.424,128.332
HOL-Analysis,108.705,132.189,177.436,170.286
HOL-Analysis-ex,350.033,473.651,15.026,14.976
HOL-Auth,108.705,127.266,32.292,35.769
HOL-Bali,1284.685,1975.114,34.043,45.855
HOL-CSP,677.691,1009.171,143.648,143.254
HOL-CSPM,821.339,1187.489,36.89,55.495
HOL-CSP_OpSem,1245.682,2014.194,38.827,56.113
HOL-Cardinals,171.303,183.996,21.962,21.807
HOL-Codegenerator_Test,525.777,801.505,258.432,252.53
HOL-Combinatorics,147.585,172.522,9.072,17.532
HOL-Complex_Analysis,297.368,401.494,31.949,41.337
HOL-Computational_Algebra,171.303,184.012,27.236,59.557
HOL-Corec_Examples,853.313,1118.43,139.703,204.695
HOL-Data_Structures,1121.678,1576.943,132.024,112.702
HOL-Datatype_Examples,1277.963,1927.635,41.928,61.615
HOL-Decision_Procs,886.934,1187.606,127.023,123.381
HOL-Eisbach,108.705,122.908,5.665,7.358
HOL-Examples,266.258,329.044,22.159,31.208
HOL-Hahn_Banach,135.452,158.587,4.506,5.099
HOL-Hoare,245.908,321.207,19.336,20.945
HOL-Hoare_Parallel,655.951,858.951,45.13,58.107
HOL-Homology,457.7,649.86,114.146,205.578
HOL-IMP,195.348,260.031,91.295,131.853
HOL-IMPP,132.721,175.337,2.727,3.077
HOL-IOA,158.163,209.265,1.823,2.264
HOL-Imperative_HOL,1224.028,1695.448,82.341,72.593
HOL-Import,141.461,165.649,1.627,1.295
HOL-Induct,145.184,191.714,7.952,8.327
HOL-Isar_Examples,237.038,287.962,3.418,3.613
HOL-Lattice,153.73,200.335,1.721,2.481
HOL-Library,108.705,119.925,62.598,61.483
HOL-Matrix_LP,127.371,163.575,5.971,6.954
HOL-Metis_Examples,337.954,469.118,3.759,8.256
HOL-MicroJava,1024.482,1317.912,41.819,79.284
HOL-Mirabelle-ex,154.588,200.351,1.808,2.045
HOL-Mutabelle,158.77,209.278,1.914,1.877
HOL-NanoJava,145.83,181.501,3.133,3.811
HOL-Nitpick_Examples,136.725,151.103,13.932,16.789
HOL-Nominal,118.283,149.73,10.265,12.178
HOL-Nominal-Examples,397.095,563.435,401.067,259.511
HOL-Nonstandard_Analysis,296.056,338.517,14.653,15.024
HOL-Nonstandard_Analysis-Examples,394.475,528.956,1.873,2.271
HOL-Number_Theory,204.093,264.06,44.98,43.724
HOL-ODE-ARCH-COMP,720.173,1037.685,387.635,520.799
HOL-ODE-Examples,720.173,1037.708,250.442,301.152
HOL-ODE-Numerics,353.238,459.158,366.935,569.919
HOL-Predicate_Compile_Examples,571.846,858.223,45.071,40.22
HOL-Probability,286.141,308.997,29.719,30.73
HOL-Probability-ex,354.579,476.223,7.336,7.046
HOL-Prolog,156.719,182.356,1.231,0.919
HOL-Proofs,403.743,502.998,394.271,463.995
HOL-Proofs-Extraction,1191.69,1553.119,70.183,72.643
HOL-Proofs-Lambda,1080.901,1482.509,67.508,58.439
HOL-Proofs-ex,830.03,1167.239,2.273,3.444
HOL-Quickcheck_Examples,814.408,1167.391,18.458,27.433
HOL-Quotient_Examples,643.905,897.836,17.69,35.087
HOL-Real_Asymp,108.705,130.628,38.88,35.54
HOL-Real_Asymp-Manual,200.817,245.799,1.143,1.548
HOL-SET_Protocol,664.217,855.915,11.528,14.347
HOL-SMT_Examples,636.888,847.039,32.902,32.336
HOL-SPARK,108.705,127.283,16.164,23.196
HOL-SPARK-Examples,124.869,165.603,5.553,7.137
HOL-SPARK-Manual,139.799,164.337,2.398,2.927
HOL-Statespace,278.641,371.764,11.198,10.701
HOL-TLA,108.705,122.922,3.996,6.022
HOL-TLA-Buffer,198.734,226.588,1.267,2.543
HOL-TLA-Inc,295.937,385.769,1.827,1.539
HOL-TLA-Memory,144.303,167.211,4.981,4.57
HOL-TPTP,166.116,221.552,6.062,3.556
HOL-Types_To_Sets,188.712,220.749,10.304,16.811
HOL-UNITY,160.566,198.14,19.579,22.322
HOL-Unix,144.661,181.454,4.356,5.63
HOL-ZF,124.463,150.601,11.891,15.274
HOL-ex,736.067,1187.502,97.598,125.323
HOLCF,108.705,128.989,8.135,23.25
HOLCF-FOCUS,161.864,214.597,2.656,3.326
HOLCF-IMP,150.657,175.39,4.72,4.014
HOLCF-Library,116.84,153.795,7.707,10.923
HOLCF-Prelude,121.795,153.807,30.285,36.939
HOLCF-Tutorial,148.347,172.323,9.654,5.498
HOLCF-ex,180.145,221.498,2.122,3.605
HRB-Slicing,324.262,455.423,164.449,198.824
Hahn_Jordan_Decomposition,319.685,455.437,11.042,12.33
Hales_Jewett,108.705,129.0,11.84,14.469
Haskell,129.55,156.67,0.99,1.391
Heard_Of,139.958,164.356,12.097,12.521
Hello_World,150.541,175.403,3.631,4.244
HereditarilyFinite,171.303,219.675,12.104,11.786
Hermite,391.142,516.817,23.521,28.537
Hermite_Lindemann,858.229,1313.895,68.314,116.761
Hidden_Markov_Models,1086.451,1446.461,31.293,36.744
Higher_Order_Terms,314.671,378.24,37.65,51.363
HoareForDivergence,1274.167,1975.127,31.251,34.028
Hoare_Time,1227.71,1624.912,49.029,62.683
Hood_Melville_Queue,147.795,173.585,15.918,23.028
HotelKeyCards,156.197,180.261,2.348,2.548
How_to_Prove_it,113.388,133.967,0.954,0.943
Huffman,179.406,205.019,4.854,5.525
Hybrid_Logic,357.454,484.186,10.459,16.848
Hybrid_Multi_Lane_Spatial_Logic,683.39,935.65,36.17,28.52
Hybrid_Systems_VCs,869.345,1183.126,130.994,174.387
HyperCTL,326.743,434.996,7.192,4.881
HyperHoareLogic,163.294,201.263,26.715,19.137
Hyperdual,1261.873,1628.303,48.903,42.116
Hypergraph_Basics,1217.585,1934.453,35.89,28.367
Hypergraph_Colourings,1071.95,1657.948,80.149,87.686
IEEE_Floating_Point,151.672,192.16,14.233,17.684
IFC_Tracking,153.677,193.195,10.786,14.029
IMAP-CRDT,307.942,369.502,9.371,12.4
IMO2019,717.262,962.141,7.972,6.882
IMP2,188.781,222.427,49.244,110.254
IMP2_Binary_Heap,416.175,595.195,12.529,12.271
IMP_Compiler,305.248,439.165,32.706,29.037
IMP_Compiler_Reuse,152.055,177.635,17.186,20.058
IMP_Noninterference,488.711,656.858,38.296,43.484
IOA,116.84,154.472,10.531,8.756
IOA-ABP,792.592,1103.703,4.6,5.129
IOA-NTP,143.088,167.226,5.259,4.765
IOA-Storage,167.008,209.078,1.484,1.598
IOA-ex,136.806,163.986,1.595,1.325
IO_Language_Conformance,714.159,962.153,8.943,7.078
IP_Addresses,144.303,182.018,111.639,110.807
Imperative_Insertion_Sort,1306.369,1770.326,2.502,3.678
Implementation,140.997,166.353,5.001,6.206
Implicational_Logic,164.086,219.755,3.015,1.761
Impossible_Geometry,135.452,158.604,3.225,3.813
Incompleteness,245.908,321.266,229.588,237.852
Incredible_Proof_Machine,195.514,243.141,15.369,16.878
Independence_CH,49.718,44.173,30.341,25.882
Inductive_Confidentiality,146.059,167.248,7.77,6.462
Inductive_Inference,1194.319,1575.133,65.517,69.522
InfPathElimination,482.504,679.032,68.079,65.347
InformationFlowSlicing,409.09,582.433,6.931,12.052
InformationFlowSlicing_Inter,502.755,659.606,9.67,14.468
Integration,245.908,321.283,6.325,10.874
Interpolation_Polynomials_HOL_Algebra,440.195,587.666,21.669,24.574
Interpreter_Optimizations,980.345,1258.89,73.537,157.362
Interval_Analysis,789.887,1167.739,104.784,107.958
Interval_Arithmetic_Word32,245.908,321.62,93.871,96.587
Intro,8.245,9.001,0.239,0.215
Intro_Dest_Elim,161.717,214.611,6.025,1.447
Involutions2Squares,152.98,175.418,3.217,2.473
Iptables_Semantics,697.741,881.067,106.984,107.678
Iptables_Semantics_Examples,865.54,1294.876,226.706,306.566
Irrational_Series_Erdos_Straus,710.361,945.449,17.702,11.653
Irrationality_J_Hancl,1194.319,1575.143,63.191,68.806
Irrationals_From_THEBOOK,416.309,557.887,2.664,3.611
IsaGeoCoq,894.671,1303.484,67.691,94.68
IsaNet,1194.749,1441.319,52.517,57.154
Isabelle_C,222.376,270.514,36.331,41.11
Isabelle_DOF,622.537,838.093,60.853,94.976
Isabelle_Marries_Dirac,494.655,677.625,393.793,436.127
Isabelle_Meta_Model,609.44,773.577,128.044,121.555
Isabelle_hoops,311.492,444.784,16.413,12.418
Isar_Ref,980.345,1258.919,16.201,22.111
JEdit,168.492,211.142,1.954,1.903
Jacobson_Basic_Algebra,1220.139,1934.468,41.497,49.652
Jinja,174.967,233.477,70.941,86.272
JinjaDCI,480.733,658.213,422.02,451.021
JiveDataStoreModel,308.352,439.192,11.243,8.882
Jordan_Hoelder,297.962,423.073,8.912,14.558
Jordan_Normal_Form,343.689,477.656,65.401,101.894
KAD,1225.607,1486.66,50.095,49.406
KAT_and_DRA,135.452,175.311,14.229,13.476
KBPs,970.615,1339.737,84.83,108.864
KD_Tree,1010.778,1482.669,9.563,14.279
Karatsuba,1154.84,1354.165,39.909,34.757
Key_Agreement_Strong_Adversaries,480.733,658.226,150.402,192.621
Khovanskii_Theorem,676.292,859.538,32.099,53.143
Kleene_Algebra,108.705,130.654,26.747,27.125
Kneser_Cauchy_Davenport,1247.266,1499.794,43.278,42.346
Knights_Tour,150.106,185.26,13.188,15.319
Knot_Theory,980.345,1258.946,56.565,77.119
KnuthMorrisPratt,1037.011,1522.912,16.4,22.499
Knuth_Bendix_Order,315.06,439.823,10.502,8.701
Knuth_Morris_Pratt,424.165,618.967,18.669,15.216
Koenigsberg_Friendship,1182.937,1829.638,34.648,39.95
Kruskal,426.94,572.948,29.477,40.631
Kummer_Congruence,558.065,753.413,9.861,9.342
Kuratowski_Closure_Complement,422.922,599.821,15.944,12.469
LCF,8.245,9.012,4.061,3.182
LEM,176.543,192.218,82.014,74.162
LL1_Parser,1075.547,1658.354,48.993,58.06
